State,lon,lat
Sabah,117.31975252595188,5.750824279648453
Perlis,100.25247286625718,6.4819741253063015
Kedah,100.38640782434929,5.679099294789246
Kelantan,102.00199731883575,5.409699351658254
Perak,101.05735761441093,4.789799482516081
Sarawak,112.60145400229463,2.906849879997521
Pulau Pinang,100.34343783779448,5.417629349984271
Selangor,101.38784251100311,3.2284548121082945
Negeri Sembilan,102.21288225285042,2.8259648970719446
Melaka,102.29390722749793,2.2926300096563272
Johor,103.37897688798259,2.080775054377871
Pahang,102.49113216578678,3.609934731579752
Terengganu,102.94135702491265,4.865039466633289
Labuan,115.20923818632608,5.3088243729524685
Kuala Lumpur,101.69242741569933,3.129329833033092
Putrajaya,101.69227241574782,2.9277248755909113
